分數,價格,英文,日文,網站
3.84,8000,Ibaia,IBAIA,https://tabelog.com/tw/tokyo/A1301/A130101/13159072/
3.84,5000,hatsudaisupaisushokudouwakoninsaitando-ru,初台スパイス食堂 和魂印才たんどーる,https://tabelog.com/tw/tokyo/A1318/A131807/13195398/
3.84,10000,Gri-gri,グリグリ,https://tabelog.com/tw/tokyo/A1307/A130702/13149114/
3.84,6000,Unagikawasei,うなぎ川勢,https://tabelog.com/tw/tokyo/A1309/A130905/13035338/
3.84,0,Kotobukiseimenyoshikawa,寿製麺 よしかわ 西台駅前店,https://tabelog.com/tw/tokyo/A1322/A132205/13228611/
3.84,10000,Isshokutaissokutaichisokuta,一即夛,https://tabelog.com/tw/tokyo/A1307/A130701/13023340/
3.83,0,Ramenhayashida,らぁ麺 はやし田 新宿本店,https://tabelog.com/tw/tokyo/A1304/A130401/13216496/
3.83,1000,PATISSIER INAMURA SHOZO,パティシエ イナムラ ショウゾウ,https://tabelog.com/tw/tokyo/A1311/A131104/13003575/
3.83,0,Sucre-rie,シュークリー,https://tabelog.com/tw/tokyo/A1302/A130204/13050996/
3.83,10000,Les enfants gates,レザンファン ギャテ,https://tabelog.com/tw/tokyo/A1303/A130303/13039567/
3.83,6000,Akasakatsutsui,赤坂 津つ井 総本店,https://tabelog.com/tw/tokyo/A1307/A130701/13002829/
3.83,8000,Kunimoto Shinkan,焼肉くにもと 新館,https://tabelog.com/tw/tokyo/A1314/A131401/13035852/
3.83,8000,Souten,蒼天 南口店,https://tabelog.com/tw/tokyo/A1323/A132302/13092061/
3.83,1000,chuukasobamanchi-ken,中華そば 満鶏軒,https://tabelog.com/tw/tokyo/A1312/A131201/13220773/
3.83,2000,Nihombashinagato,日本橋 長門,https://tabelog.com/tw/tokyo/A1302/A130202/13011481/
3.83,0,Menyakintoki,麺や金時,https://tabelog.com/tw/tokyo/A1321/A132101/13139195/
3.83,10000,SHONZUI,祥瑞,https://tabelog.com/tw/tokyo/A1307/A130701/13001263/
3.83,8000,La Strada,ら すとらあだ,https://tabelog.com/tw/tokyo/A1319/A131903/13141774/
3.83,10000,COMME A LA MAISON,コム・ア・ラ・メゾン,https://tabelog.com/tw/tokyo/A1308/A130801/13002186/
3.83,10000,Namban Ginentei,南蛮 銀圓亭,https://tabelog.com/tw/tokyo/A1301/A130101/13002305/
3.83,8000,BONA FESTA,ボナ・フェスタ,https://tabelog.com/tw/tokyo/A1311/A131102/13016868/
3.83,10000,Kishunsuzunari,季旬 鈴なり,https://tabelog.com/tw/tokyo/A1309/A130903/13023513/
3.83,4000,Ruparan,ル・パラン,https://tabelog.com/tw/tokyo/A1304/A130401/13000988/
3.83,3000,yu-goandovikuto-ru,ユーゴ アンド ヴィクトール 伊勢丹新宿店,https://tabelog.com/tw/tokyo/A1304/A130401/13187714/
3.83,1000,Negombo33,negombo33 高円寺,https://tabelog.com/tw/tokyo/A1319/A131904/13228221/
3.83,10000,Narukami,鳴神,https://tabelog.com/tw/tokyo/A1306/A130603/13169768/
3.83,10000,Matsushima,マツシマ,https://tabelog.com/tw/tokyo/A1318/A131811/13195689/
3.83,10000,Le Ciel,Le Ciel,https://tabelog.com/tw/tokyo/A1325/A132503/13199145/
3.83,10000,shibuyafutaaji,渋谷 ふた味,https://tabelog.com/tw/tokyo/A1303/A130301/13204305/
3.82,1000,ECHIRE MAISON DU BEURRE,エシレ・メゾン デュ ブール,https://tabelog.com/tw/tokyo/A1302/A130201/13096439/
3.82,2000,Teuchiudonsumita,手打うどん すみた,https://tabelog.com/tw/tokyo/A1323/A132305/13003783/
3.82,0,Hatsune,はつね,https://tabelog.com/tw/tokyo/A1319/A131907/13000717/
3.82,2000,Tonkatsu Enraku,とんかつ燕楽,https://tabelog.com/tw/tokyo/A1317/A131714/13034183/
3.82,0,Curry House TIRI TIRI  ,カレーハウス チリチリ,https://tabelog.com/tw/tokyo/A1303/A130301/13002119/
3.82,6000,indoryouriomoinoki,インド料理 想いの木,https://tabelog.com/tw/tokyo/A1309/A130905/13023967/
3.82,6000,SITAARA,シターラ 青山店,https://tabelog.com/tw/tokyo/A1306/A130602/13009705/
3.82,0,Ramenkoike,らぁめん小池,https://tabelog.com/tw/tokyo/A1318/A131809/13172994/
3.82,5000,VIA Brianza,VIA Brianza,https://tabelog.com/tw/tokyo/A1307/A130702/13004549/
3.82,8000,Fushue,虎穴,https://tabelog.com/tw/tokyo/A1302/A130204/13098919/
3.82,3000,Touhakuankaribe,東白庵かりべ,https://tabelog.com/tw/tokyo/A1309/A130905/13131622/
3.82,1000,kurioro,クリオロ 中目黒店,https://tabelog.com/tw/tokyo/A1317/A131701/13077927/
3.82,10000,Kinoshita,キノシタ,https://tabelog.com/tw/tokyo/A1318/A131810/13001058/
3.82,6000,Takesan,焼き鳥 丈参,https://tabelog.com/tw/tokyo/A1302/A130204/13046105/
3.82,0,Rupandwujoerurobushon,ル パン ドゥ ジョエル･ロブション ニュウマン新宿店,https://tabelog.com/tw/tokyo/A1304/A130401/13193559/
3.82,6000,CINA New Modern Chinese,CINA New Modern Chinese,https://tabelog.com/tw/tokyo/A1303/A130302/13200117/
3.82,1000,Patisserie Salom de the Amitie,パティスリーサロン・ドゥ・テ アミティエ,https://tabelog.com/tw/tokyo/A1309/A130905/13047005/
3.82,2000,Rire Ginza,リール ギンザ,https://tabelog.com/tw/tokyo/A1301/A130101/13188259/
3.82,10000,L'Odorante par Minoru Nakijin,ロドラント ミノルナキジン,https://tabelog.com/tw/tokyo/A1301/A130101/13054492/
3.82,1000,uneclef,ユヌクレ,https://tabelog.com/tw/tokyo/A1318/A131813/13132250/
3.82,5000,Rajio,Radio,https://tabelog.com/tw/tokyo/A1306/A130602/13001207/
3.82,6000,Shichiriaya,シチリア屋,https://tabelog.com/tw/tokyo/A1323/A132301/13172747/
3.82,10000,CITTA' ALTA,チッタ アルタ,https://tabelog.com/tw/tokyo/A1310/A131003/13091849/
3.82,8000,RINASCIMENTO,リナシメント,https://tabelog.com/tw/tokyo/A1317/A131701/13201061/
3.82,10000,An Di,An Di,https://tabelog.com/tw/tokyo/A1306/A130603/13209346/
3.82,1000,8 jours,エイトジュール,https://tabelog.com/tw/tokyo/A1318/A131802/13157413/
3.82,6000,LOOP,LOOP,https://tabelog.com/tw/tokyo/A1305/A130503/13213372/
3.82,6000,Bar Shake,バー シェイク,https://tabelog.com/tw/tokyo/A1301/A130101/13057637/
3.81,2000,Maruichi,丸一,https://tabelog.com/tw/tokyo/A1315/A131503/13017765/
3.81,10000,Jumbo Shirokane,焼肉 ジャンボ 白金,https://tabelog.com/tw/tokyo/A1316/A131602/13026377/
3.81,0,Rupandojoerurobushon,ル パン ドゥ ジョエル・ロブション 渋谷ヒカリエShinQs店,https://tabelog.com/tw/tokyo/A1303/A130301/13140263/
3.81,1000,Tantantei,たんたん亭,https://tabelog.com/tw/tokyo/A1318/A131805/13000705/
3.81,10000,Maison Paul Bocuse,メゾン ポール・ボキューズ,https://tabelog.com/tw/tokyo/A1303/A130303/13040327/
3.81,0,ARTISAN BOULANGER CUPIDO,アルチザン・ブーランジェ・クピド,https://tabelog.com/tw/tokyo/A1317/A131711/13035704/
3.81,3000,unagisemmontenaikawa,鰻専門店 愛川,https://tabelog.com/tw/tokyo/A1305/A130503/13029734/
3.81,3000,Naporipittsupittsuriararossa,ナポリピッツァ Pizzeria la Rossa,https://tabelog.com/tw/tokyo/A1317/A131702/13130666/
3.81,10000,L’Atlas,ラトラス,https://tabelog.com/tw/tokyo/A1309/A130905/13059639/
3.81,1000,Ivorish,アイボリッシュ 渋谷店,https://tabelog.com/tw/tokyo/A1303/A130301/13167469/
3.81,0,Pathisuriraburikochie,パティスリー ラブリコチエ,https://tabelog.com/tw/tokyo/A1319/A131904/13100828/
3.81,10000,ENGINE,エンジン,https://tabelog.com/tw/tokyo/A1309/A130905/13178164/
3.81,10000,Yorozuya Okagesan,萬屋 おかげさん,https://tabelog.com/tw/tokyo/A1309/A130903/13025617/
3.81,6000,Sobakirisaketaigu,蕎麦切り 酒 大愚,https://tabelog.com/tw/tokyo/A1308/A130802/13130565/
3.81,1000,Mont Blanc STYLE,モンブランスタイル,https://tabelog.com/tw/tokyo/A1318/A131810/13221894/
3.81,3000,Bar kisala,バー キサラ,https://tabelog.com/tw/tokyo/A1308/A130801/13116198/
3.80,0,Kamejuu,亀十,https://tabelog.com/tw/tokyo/A1311/A131102/13003655/
3.80,0,Naniwayasouhonten,浪花家総本店,https://tabelog.com/tw/tokyo/A1307/A130702/13002775/
3.80,2000,Aoki,とんかつ檍 蒲田店,https://tabelog.com/tw/tokyo/A1315/A131503/13114843/
3.80,2000,Andhra Dining GINZA,アーンドラ・ダイニング 銀座,https://tabelog.com/tw/tokyo/A1301/A130101/13136701/
3.80,10000,Ushigoro Nishiazabu,焼肉 うしごろ 西麻布本店,https://tabelog.com/tw/tokyo/A1307/A130701/13124592/
3.80,0,Mendokorobigiya,麺処 びぎ屋,https://tabelog.com/tw/tokyo/A1317/A131702/13093976/
3.80,2000,Tonkatsumampei,とんかつ 万平,https://tabelog.com/tw/tokyo/A1310/A131002/13006333/
3.80,0,Machidashirubashioramenshinka,町田汁場 しおらーめん進化 町田駅前店,https://tabelog.com/tw/tokyo/A1327/A132701/13165085/
3.80,0,Katanebekari,カタネベーカリー,https://tabelog.com/tw/tokyo/A1318/A131811/13020931/
3.80,0,Ramenyamaguchiratsushiki,らぁ麺やまぐち 辣式,https://tabelog.com/tw/tokyo/A1313/A131303/13186890/
3.80,2000,Galettoria,ガレットリア,https://tabelog.com/tw/tokyo/A1303/A130301/13045560/
3.80,8000,REQUINQUER,ルカンケ,https://tabelog.com/tw/tokyo/A1316/A131602/13099717/
3.80,5000,Toyodaya,豊田屋,https://tabelog.com/tw/tokyo/A1312/A131202/13084796/
3.80,3000,Teuchisobakikutani,手打ちそば 菊谷 巣鴨本店,https://tabelog.com/tw/tokyo/A1322/A132201/13127598/
3.80,1000,Okashidokorosasama,御菓子処 さゝま,https://tabelog.com/tw/tokyo/A1310/A131003/13000627/
3.80,10000,LAUBURU,ローブリュー,https://tabelog.com/tw/tokyo/A1306/A130602/13002092/
3.80,10000,Piattosuzuki,ピアット・スズキ,https://tabelog.com/tw/tokyo/A1307/A130702/13004441/
3.80,10000,Passo a Passo,パッソ・ア・パッソ,https://tabelog.com/tw/tokyo/A1313/A131303/13004092/
3.80,10000,Shuushanshan,蜀郷香,https://tabelog.com/tw/tokyo/A1309/A130903/13115724/
3.80,6000,Yakitoriuno,焼鳥 うの,https://tabelog.com/tw/tokyo/A1317/A131711/13130757/
3.80,10000,hananorenkagura,花のれん 花楽,https://tabelog.com/tw/tokyo/A1308/A130801/13108211/
3.80,10000,AMBIGRAM,アンビグラム,https://tabelog.com/tw/tokyo/A1307/A130703/13144328/
3.80,10000,Unagiakasakasekine,うなぎ 赤坂 勢きね,https://tabelog.com/tw/tokyo/A1307/A130701/13039787/
3.80,10000,Hostaria Casa Bella,Hostaria Casa Bella,https://tabelog.com/tw/tokyo/A1306/A130603/13175709/
3.80,8000,NATIVO,ナティーボ,https://tabelog.com/tw/tokyo/A1317/A131706/13214082/
3.80,6000,MAGICAMENTE,マジカメンテ,https://tabelog.com/tw/tokyo/A1303/A130302/13121950/
3.80,3000,Kaesarion,カエサリオン,https://tabelog.com/tw/tokyo/A1318/A131811/13002011/
3.79,0,Fuuunji,風雲児,https://tabelog.com/tw/tokyo/A1304/A130401/13044091/
3.79,1000,Kandamatsuya,神田まつや,https://tabelog.com/tw/tokyo/A1310/A131002/13000340/
3.79,1000,Namikiyabusoba,並木藪蕎麦,https://tabelog.com/tw/tokyo/A1311/A131102/13003650/
3.79,2000,GURGAON,グルガオン,https://tabelog.com/tw/tokyo/A1301/A130101/13002457/
3.79,0,Menyashichisai,麺や 七彩,https://tabelog.com/tw/tokyo/A1302/A130203/13184399/
3.79,1000,Mont St Clair,モンサンクレール,https://tabelog.com/tw/tokyo/A1317/A131703/13003221/
3.79,3000,La Piccola Tavola,ラ・ピッコラ・ターヴォラ,https://tabelog.com/tw/tokyo/A1318/A131805/13005575/
3.79,0,Oozekichuukasobaten,おおぜき中華そば店,https://tabelog.com/tw/tokyo/A1303/A130302/13147623/
3.79,1000,Ageduki,あげづき,https://tabelog.com/tw/tokyo/A1309/A130905/13107796/
3.79,10000,Ryuutemmon,龍天門,https://tabelog.com/tw/tokyo/A1303/A130302/13004490/
3.79,6000,SPICE Cafe,スパイスカフェ,https://tabelog.com/tw/tokyo/A1312/A131203/13002935/
3.79,0,Dans Dix ans,ダンディゾン,https://tabelog.com/tw/tokyo/A1320/A132001/13005834/
3.79,2000,Nomotoya,のもと家,https://tabelog.com/tw/tokyo/A1314/A131401/13170377/
3.79,8000,oginoo-ganikkuresutoran,OGINO organic Restaurant,https://tabelog.com/tw/tokyo/A1317/A131705/13045099/
3.79,8000,Isehiro,伊勢廣 京橋本店,https://tabelog.com/tw/tokyo/A1302/A130202/13000541/
3.79,8000,Namaiki,生粋,https://tabelog.com/tw/tokyo/A1311/A131101/13165294/
3.79,1000,Haritts,ハリッツ 上原店,https://tabelog.com/tw/tokyo/A1318/A131811/13023466/
3.79,4000,Shimada,銀座 しまだ,https://tabelog.com/tw/tokyo/A1301/A130101/13136359/
3.79,3000,Pathisurisatsuki,パティスリー SATSUKI,https://tabelog.com/tw/tokyo/A1308/A130803/13000178/
3.79,6000,Kirakutei,きらく亭,https://tabelog.com/tw/tokyo/A1307/A130703/13007145/
3.79,8000,Resutorankamiya,レストラン香味屋,https://tabelog.com/tw/tokyo/A1311/A131104/13003752/
3.79,0,Sansanto,燦燦斗,https://tabelog.com/tw/tokyo/A1323/A132304/13038064/
3.79,0,Rotonnu,ロートンヌ 秋津本店,https://tabelog.com/tw/tokyo/A1328/A132806/13005967/
3.79,8000,Misuji,赤坂 みすじ,https://tabelog.com/tw/tokyo/A1308/A130801/13114946/
3.79,10000,sobasasuga,蕎麦 流石,https://tabelog.com/tw/tokyo/A1301/A130101/13002488/
3.79,6000,Ronkouchuucha,龍口酒家 本店,https://tabelog.com/tw/tokyo/A1318/A131807/13004350/
3.79,1000,Ramengantetsu,ラーメン巌哲,https://tabelog.com/tw/tokyo/A1305/A130504/13167439/
3.79,5000,Kuronekoyoru,黒猫夜 六本木店,https://tabelog.com/tw/tokyo/A1307/A130701/13115202/
3.79,10000,Kandayunrin,神田 雲林,https://tabelog.com/tw/tokyo/A1310/A131002/13023052/
3.79,6000,"Pizzeria da peppe NAPOLI STA'CA""",ナポリスタカ 神谷町店,https://tabelog.com/tw/tokyo/A1307/A130704/13132020/
3.79,0,REFECTOIRE,レフェクトワール,https://tabelog.com/tw/tokyo/A1306/A130601/13149666/
3.79,0,Manriki,卍力,https://tabelog.com/tw/tokyo/A1313/A131305/13168253/
3.79,8000,iriyakishimojimmonzennodaya,入谷鬼子母神門前のだや,https://tabelog.com/tw/tokyo/A1311/A131104/13152282/
3.79,4000,AHIRU STORE,アヒルストア,https://tabelog.com/tw/tokyo/A1318/A131810/13051357/
3.79,1000,Kyuuyamuteishimokitasou,旧ヤム邸 シモキタ荘,https://tabelog.com/tw/tokyo/A1318/A131802/13211142/
3.79,2000,ishiusubikiteuchisabatakahashi,石臼挽き手打ち蕎麦 高はし,https://tabelog.com/tw/tokyo/A1319/A131906/13004378/
3.79,1000,Pariogawaken,巴裡 小川軒 新橋店,https://tabelog.com/tw/tokyo/A1301/A130103/13024996/
3.79,4000,Chuugokusaizenrakubou,中国菜 膳楽房,https://tabelog.com/tw/tokyo/A1309/A130905/13156026/
3.79,10000,MONOLITH,モノリス,https://tabelog.com/tw/tokyo/A1303/A130301/13108686/
3.79,10000,nishiazabukenshirou,西麻布けんしろう,https://tabelog.com/tw/tokyo/A1307/A130703/13184885/
3.79,10000,OHARA ET CIE,オオハラ エ シーアイイー,https://tabelog.com/tw/tokyo/A1307/A130701/13005432/
3.79,4000,Masaru,まさる,https://tabelog.com/tw/tokyo/A1311/A131102/13003673/
3.79,10000,Oharasuresutoran,おはらス・レストラン,https://tabelog.com/tw/tokyo/A1316/A131603/13004538/
3.79,0,LE JARDIN BLEU,ル・ジャルダン・ブルー,https://tabelog.com/tw/tokyo/A1327/A132702/13023266/
3.79,10000,RISTORANTE YAGI,RISTORANTE YAGI,https://tabelog.com/tw/tokyo/A1303/A130303/13132568/
3.79,0,Mangetsuudon,満月うどん,https://tabelog.com/tw/tokyo/A1329/A132901/13026307/
3.79,5000,Hashidume,広尾はしづめ,https://tabelog.com/tw/tokyo/A1307/A130703/13141454/
3.79,6000,Kammeihou,涵梅舫 銀座店,https://tabelog.com/tw/tokyo/A1301/A130101/13174080/
3.79,6000,terowa-rukawabata,TERROIR Kawabata,https://tabelog.com/tw/tokyo/A1310/A131002/13173446/
3.79,10000,Ristorante Sotto l'Arco,リストランテソットラルコ,https://tabelog.com/tw/tokyo/A1301/A130101/13134899/
3.79,3000,Erikkusausumasaradaina,エリックサウスマサラダイナー,https://tabelog.com/tw/tokyo/A1303/A130301/13220984/
3.79,10000,Collage,モダンフレンチ 「コラージュ」 コンラッド東京,https://tabelog.com/tw/tokyo/A1301/A130103/13158816/
3.79,10000,Washokuonodera,和食 おの寺,https://tabelog.com/tw/tokyo/A1309/A130905/13030807/
3.79,6000,Tonko,敦煌,https://tabelog.com/tw/tokyo/A1309/A130903/13000935/
3.79,6000,irutoramu,il tram,https://tabelog.com/tw/tokyo/A1313/A131303/13157110/
3.79,8000,Dessert Le Comptoir,デセール ル コントワール,https://tabelog.com/tw/tokyo/A1317/A131715/13108815/
3.79,8000,AURELIO,AURELIO,https://tabelog.com/tw/tokyo/A1303/A130301/13197889/
3.79,8000,Ludique,ルディック,https://tabelog.com/tw/tokyo/A1311/A131102/13203326/
3.79,10000,LARTE SAWAFUJI,ラルテ沢藤,https://tabelog.com/tw/tokyo/A1306/A130603/13167449/
3.79,4000,Karuso,カルーソー,https://tabelog.com/tw/tokyo/A1304/A130401/13111408/
3.79,3000,Drambuie,ドランブイ,https://tabelog.com/tw/tokyo/A1324/A132402/13116249/
3.79,8000,Supeinryourisarudesuka,スペイン料理サルデスカ,https://tabelog.com/tw/tokyo/A1311/A131104/13196197/
3.78,2000,Mitoyazawa,ミート矢澤,https://tabelog.com/tw/tokyo/A1316/A131603/13042320/
3.78,0,Kariraisusemmontenechiopia,カリーライス専門店エチオピア 本店,https://tabelog.com/tw/tokyo/A1310/A131003/13000638/
3.78,1000,BROZERS',ブラザーズ 人形町本店,https://tabelog.com/tw/tokyo/A1302/A130204/13003002/
3.78,1000,Mugitooribu,むぎとオリーブ 銀座店,https://tabelog.com/tw/tokyo/A1301/A130101/13164932/
3.78,2000,Kandayabusoba,かんだやぶそば,https://tabelog.com/tw/tokyo/A1310/A131002/13000334/
3.78,4000,Bantai,バンタイ,https://tabelog.com/tw/tokyo/A1304/A130401/13000085/
3.78,1000,FIRE HOUSE,ファイヤーハウス,https://tabelog.com/tw/tokyo/A1310/A131004/13003538/
3.78,4000,Komagatadojou,駒形どぜう 本店,https://tabelog.com/tw/tokyo/A1311/A131102/13003684/
3.78,2000,Okonomiyakikiji,お好み焼 きじ 丸の内店,https://tabelog.com/tw/tokyo/A1302/A130201/13020110/
3.78,5000,Gyuzo,焼肉問屋 牛蔵,https://tabelog.com/tw/tokyo/A1321/A132102/13008910/
3.78,0,Taiyakiwakaba,たいやき わかば,https://tabelog.com/tw/tokyo/A1309/A130902/13000848/
3.78,1000,"BREAD,ESPRESSO &",パンとエスプレッソと,https://tabelog.com/tw/tokyo/A1306/A130602/13090477/
3.78,1000,tonkatsutonki,とんかつ とんき 目黒本店,https://tabelog.com/tw/tokyo/A1316/A131601/13002040/
3.78,3000,Seirinkan,聖林館,https://tabelog.com/tw/tokyo/A1317/A131701/13003188/
3.78,0,Yanagiya,柳屋,https://tabelog.com/tw/tokyo/A1302/A130204/13003065/
3.78,6000,LA BETTOLA da Ochiai,ラ・ベットラ・ダ・オチアイ,https://tabelog.com/tw/tokyo/A1313/A131301/13002504/
3.78,0,suminoepan,墨繪パン 新宿店,https://tabelog.com/tw/tokyo/A1304/A130401/13000762/
3.78,1000,Kouhien,香妃園,https://tabelog.com/tw/tokyo/A1307/A130701/13001271/
3.78,6000,Partenope,パルテノペ 恵比寿店,https://tabelog.com/tw/tokyo/A1303/A130302/13005480/
3.78,10000,toukyoushibatoufuyaukai,東京 芝 とうふ屋うかい,https://tabelog.com/tw/tokyo/A1314/A131401/13019665/
3.78,2000,Rengatei,煉瓦亭,https://tabelog.com/tw/tokyo/A1301/A130101/13002430/
3.78,3000,Nirvanam,ニルワナム 神谷町店,https://tabelog.com/tw/tokyo/A1307/A130704/13019915/
3.78,2000,Andhra Kitchen,アーンドラ・キッチン,https://tabelog.com/tw/tokyo/A1311/A131101/13096305/
3.78,6000,Ramithie,ラミティエ,https://tabelog.com/tw/tokyo/A1305/A130503/13004131/
3.78,3000,Souhonkesarashinahorii,総本家更科堀井 本店,https://tabelog.com/tw/tokyo/A1307/A130702/13001226/
3.78,3000,Reikyou,麗郷 渋谷店,https://tabelog.com/tw/tokyo/A1303/A130301/13001805/
3.78,10000,BENOIT,ブノワ,https://tabelog.com/tw/tokyo/A1306/A130602/13019489/
3.78,2000,MUNCH'S BURGER SHACK,マンチズ バーガー シャック,https://tabelog.com/tw/tokyo/A1314/A131401/13121856/
3.78,2000,Kishidaya,岸田屋,https://tabelog.com/tw/tokyo/A1313/A131302/13002239/
3.78,1000,Bekabaunsu,ベーカーバウンス,https://tabelog.com/tw/tokyo/A1317/A131706/13004780/
3.78,4000,Tanyakishinobushinobu,たん焼 忍,https://tabelog.com/tw/tokyo/A1309/A130903/13000943/
3.78,1000,Uchida,宇ち多゛,https://tabelog.com/tw/tokyo/A1324/A132403/13003087/
3.78,2000,KHAN KEBAB BIRYANI,カーン・ケバブ・ビリヤニ,https://tabelog.com/tw/tokyo/A1301/A130103/13170211/
3.78,6000,Mantenzushi,まんてん鮨 丸の内,https://tabelog.com/tw/tokyo/A1302/A130201/13096429/
3.78,4000,Muromachisunaba,室町砂場,https://tabelog.com/tw/tokyo/A1310/A131002/13000316/
3.78,2000,DELHI,デリー 銀座店,https://tabelog.com/tw/tokyo/A1301/A130101/13002616/
3.78,3000,Truly south indian dakshin yaesu,南インド料理ダクシン 八重洲店,https://tabelog.com/tw/tokyo/A1302/A130202/13117635/
3.78,0,chuukasobafukumimi,中華そば ふくみみ,https://tabelog.com/tw/tokyo/A1326/A132602/13016486/
3.78,2000,Hasegawa,はせ川,https://tabelog.com/tw/tokyo/A1312/A131201/13019126/
3.78,4000,Betonamuchan,ベトナムちゃん,https://tabelog.com/tw/tokyo/A1304/A130404/13122530/
3.78,10000,Shinjukukappounakajima,新宿割烹 中嶋,https://tabelog.com/tw/tokyo/A1304/A130401/13000959/
3.78,8000,Shoutaien,正泰苑 芝大門店,https://tabelog.com/tw/tokyo/A1314/A131401/13005213/
3.78,8000,trattoria Tanta Bocca,トラットリア タンタボッカ,https://tabelog.com/tw/tokyo/A1304/A130403/13058484/
3.78,1000,Shimura,志むら,https://tabelog.com/tw/tokyo/A1305/A130502/13003855/
3.78,2000,tonkatsuaoki,とんかつ檍 大門店,https://tabelog.com/tw/tokyo/A1314/A131401/13190933/
3.78,1000,Reg-On Diner,レッグオンダイナー,https://tabelog.com/tw/tokyo/A1303/A130301/13054359/
3.78,0,Uchitateya,うちたて家,https://tabelog.com/tw/tokyo/A1305/A130501/13003889/
3.78,8000,Hontosaya,本とさや,https://tabelog.com/tw/tokyo/A1311/A131102/13003711/
3.78,3000,Machinopara,まちのパーラー,https://tabelog.com/tw/tokyo/A1321/A132101/13126515/
3.78,6000,L'AS,ラス,https://tabelog.com/tw/tokyo/A1306/A130602/13137097/
3.78,8000,RESTAURANT SAKAKI,レストラン・サカキ,https://tabelog.com/tw/tokyo/A1302/A130202/13002443/
3.78,5000,Kuronekoyoru,黒猫夜,https://tabelog.com/tw/tokyo/A1308/A130801/13019152/
3.78,2000,Tokudawara,徳多和良,https://tabelog.com/tw/tokyo/A1324/A132402/13008682/
3.78,10000,Elio Locanda Italiana,エリオ・ロカンダ・イタリアーナ,https://tabelog.com/tw/tokyo/A1308/A130803/13000293/
3.78,3000,Savoi,SAVOY 麻布十番店,https://tabelog.com/tw/tokyo/A1307/A130702/13036875/
3.78,8000,MONNA LISA,モナリザ 恵比寿店,https://tabelog.com/tw/tokyo/A1303/A130302/13004628/
3.78,2000,Sanchoumenokareyasan,３丁目のカレー屋さん ,https://tabelog.com/tw/tokyo/A1302/A130202/13025962/
3.78,10000,Lugdunum Bouchon Lyonnais,ルグドゥノム ブション リヨネ,https://tabelog.com/tw/tokyo/A1309/A130905/13043985/
3.78,1000,tonkatsumasamune,とんかつ まさむね,https://tabelog.com/tw/tokyo/A1308/A130801/13156833/
3.78,1000,Kuriyakashikurogi,廚菓子くろぎ,https://tabelog.com/tw/tokyo/A1310/A131004/13167993/
3.78,3000,MASSIMOTTAVIO,マッシモッタヴィオ,https://tabelog.com/tw/tokyo/A1318/A131805/13132982/
3.78,1000,Matsuou,松翁,https://tabelog.com/tw/tokyo/A1310/A131003/13000604/
3.78,6000,Nikuyama,肉山,https://tabelog.com/tw/tokyo/A1320/A132001/13155313/
3.78,5000,Kanemasu,かねます,https://tabelog.com/tw/tokyo/A1313/A131302/13002243/
3.78,2000,Muromachisunaba,室町 砂場 赤坂店,https://tabelog.com/tw/tokyo/A1308/A130801/13002787/
3.78,3000,COCHIN NIVAS,コチン ニヴァース,https://tabelog.com/tw/tokyo/A1304/A130401/13056242/
3.78,1000,Authentic,オーセンティック,https://tabelog.com/tw/tokyo/A1308/A130802/13030795/
3.78,8000,TRATTORIA DELLA Lanterna Magica,ランテルナ・マジカ,https://tabelog.com/tw/tokyo/A1316/A131601/13015855/
3.78,0,taishiosobatouka,鯛塩そば 灯花,https://tabelog.com/tw/tokyo/A1309/A130903/13181527/
3.78,3000,Mirei,ミ・レイ,https://tabelog.com/tw/tokyo/A1315/A131503/13003307/
3.78,5000,L'EPICURIEN,レピキュリアン,https://tabelog.com/tw/tokyo/A1320/A132001/13005891/
3.78,2000,Ikkouan,一幸庵,https://tabelog.com/tw/tokyo/A1323/A132302/13005076/
3.78,6000,Chuugokushukadaisangen,中国酒家 大三元,https://tabelog.com/tw/tokyo/A1312/A131201/13007985/
3.78,0,Tachibana,たちばな,https://tabelog.com/tw/tokyo/A1301/A130103/13022189/
3.78,8000,Jirio,ジリオ,https://tabelog.com/tw/tokyo/A1301/A130103/13048986/
3.78,10000,Ristorante Cascina Canamilla,Ristorante Cascina Canamilla,https://tabelog.com/tw/tokyo/A1317/A131701/13020531/
3.78,1000,Aosan,AOSAN,https://tabelog.com/tw/tokyo/A1326/A132601/13047751/
3.78,5000,grill GRAND,グリル グランド,https://tabelog.com/tw/tokyo/A1311/A131102/13008702/
3.78,0,Chuukasobasatou,中華そば さとう,https://tabelog.com/tw/tokyo/A1315/A131504/13132475/
3.78,3000,Azabushokudou,麻布食堂,https://tabelog.com/tw/tokyo/A1307/A130703/13001363/
3.78,0,Seijouarupusu,成城アルプス,https://tabelog.com/tw/tokyo/A1318/A131814/13002002/
3.78,4000,La TRIPLETTA,ラ・トリプレッタ,https://tabelog.com/tw/tokyo/A1317/A131710/13165472/
3.78,6000,du Barry,デュ バリー,https://tabelog.com/tw/tokyo/A1317/A131705/13110276/
3.78,10000,La Tourelle,ラ・トゥーエル,https://tabelog.com/tw/tokyo/A1309/A130905/13000457/
3.78,10000,Resutoranhiromichi,レストラン　ヒロミチ,https://tabelog.com/tw/tokyo/A1303/A130302/13090587/
